title,author,year,edition_count,subject
Pride and Prejudice,Jane Austen,1813,4036,fiction
Alice's Adventures in Wonderland,Lewis Carroll,1865,3546,fiction
The Picture of Dorian Gray,Oscar Wilde,1890,3006,fiction
Wuthering Heights,Emily Brontë,1846,2885,fiction
A Christmas Carol,Charles Dickens,1843,2727,fiction
Adventures of Huckleberry Finn,Mark Twain,1876,2552,fiction
Emma,Jane Austen,1815,2261,fiction
Oliver Twist,Charles Dickens,1822,2209,fiction
Frankenstein or The Modern Prometheus,Mary Shelley,1818,2184,fiction
Hamlet,William Shakespeare,1603,2069,fiction
A Tale of Two Cities,Charles Dickens,1800,2059,fiction
The Wonderful Wizard of Oz,L. Frank Baum,1899,2052,fiction
Sense and Sensibility,Jane Austen,1811,2015,fiction
Treasure Island,Robert Louis Stevenson,1880,1984,fiction
Little Women,Louisa May Alcott,1848,1887,fiction
Gulliver's Travels,Jonathan Swift,1726,1809,fiction
The Secret Garden,Frances Hodgson Burnett,1911,1594,fiction
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,1600,1589,fiction
Madame Bovary,Gustave Flaubert,1856,1557,fiction
King Lear,William Shakespeare,1608,1542,fiction
Great Expectations,Charles Dickens,1861,1489,fiction
A Midsummer Night's Dream,William Shakespeare,1600,1485,fiction
A Study in Scarlet,Arthur Conan Doyle,1887,1445,fiction
The Art of War,孙武,1900,1433,fiction
The Prince,Niccolò Machiavelli,1515,1406,fiction
The Call of the Wild,Jack London,1903,1393,fiction
Through the Looking-Glass,Lewis Carroll,1865,1378,fiction
The Wind in the Willows,Kenneth Grahame,1908,1346,fiction
Divina Commedia,Dante Alighieri,1472,1334,fiction
Анна Каренина,Лев Толстой,1876,1314,fiction
The Hound of the Baskervilles,Arthur Conan Doyle,1900,1308,fiction
Anne of Green Gables,Lucy Maud Montgomery,1908,1299,fiction
Persuasion,Jane Austen,1789,1235,fiction
Julius Caesar,William Shakespeare,1656,1222,fiction
The Great Gatsby,F. Scott Fitzgerald,1920,1174,fiction
Jane Eyre,Charlotte Brontë,1847,1170,fiction
The Time Machine,H. G. Wells,1895,1154,fiction
Walden,Henry David Thoreau,1854,1136,fiction
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1892,1132,fiction
Moby Dick,Herman Melville,1851,1118,fiction
Mansfield Park,Jane Austen,1814,1107,fiction
The Man Who Was Thursday,Gilbert Keith Chesterton,1908,1105,fiction
Les Trois Mousquetaires,Alexandre Dumas,1844,1101,fiction
Ἰλιάς,Όμηρος,1505,1084,fiction
Candide,Voltaire,1746,1079,fiction
Ὀδύσσεια,Όμηρος,1488,1061,fiction
Hard Times,Charles Dickens,1854,1029,fiction
The Mysterious Affair at Styles,Agatha Christie,1920,1017,fiction
The Legend of Sleepy Hollow,Washington Irving,1820,1017,fiction
Northanger Abbey,Jane Austen,1818,1011,fiction
